0,1,2,3,4,5
f,Barley,5.63,1.12,0.51,0.62
5,Oilseeds,86.77,54.46,47.35,7.11
a,Rapeseed & Mustard,79.16,53.35,46.15,7.21
b,Groundnut *,3.69,0.34,0.44,-0.10
c,Safflower,0.72,0.19,0.04,0.14
d,Sunflower *,0.79,0.09,0.04,0.04
e,Sesamum *,0.48,0.01,0.01,0.00
f,Linseed,1.93,0.46,0.65,-0.19
g,Other Oilseeds,0.00,0.03,0.03,0.00
,Total Crops,637.80,130.32,102.50,27.83
"Note: *Average of 2022-23 to 2024-25, $ average (2016-17 to 2020-21) as per DES, #Average of (2018-
19 to 2022-23) as per CWWG report.",,,,,
