0,1,2,3,4,5
"Government of India
Ministry of Agriculture & Farmers Welfare
Department of Agriculture & Farmers Welfare",,,,,
Crops Division,,,,,
Progress of area coverage under Kharif crops as on 27.06.2025,,,,,
,,,,Area: In lakh hectare,
"S.
No.",Crop,"Normal Area
(DES)",Area Sown,,"Increase (+)/
Decrease (-)
over 2024"
,,,2025,2024,
1,Rice,403.09,35.02,23.78,11.24
2,Pulses,129.61,21.09,15.37,5.73
a,Arhar,44.71,8.35,8.67,-0.32
b,Urdbean,32.64,2.35,1.42,0.93
c,Moongbean,35.69,8.58,4.30,4.28
d,Kulthi,1.72,0.09,0.07,0.02
e,Mothbean,9.70,0.56,0.01,0.55
f,Other pulses,5.15,1.17,0.89,0.27
3,"Shri Anna cum
Coarse cereals",180.71,41.75,35.01,6.74
a,Jowar,15.07,2.70,1.53,1.16
b,Bajra,70.69,14.76,10.40,4.36
c,Ragi,11.52,0.08,0.91,-0.83
d,Small millets,4.48,0.53,0.82,-0.29
e,Maize,78.95,23.69,21.35,2.34
4,Oilseeds,194.63,48.99,40.82,8.17
a,Groundnut,45.10,15.79,8.14,7.65
b,Soybean,127.19,32.04,31.78,0.26
c,Sunflower,1.29,0.39,0.37,0.02
d,Sesamum,10.32,0.69,0.43,0.26
e,Niger,1.08,0.00,0.01,0.00
f,Castor,9.65,0.04,0.06,-0.02
g,Other Oilseeds,0.00,0.04,0.04,0.00
5,Sugarcane,52.51,55.16,54.88,0.29
6,Jute & Mesta,6.59,5.47,5.62,-0.15
7,Cotton,129.50,54.66,59.97,-5.31
Total,,1096.64,262.15,235.44,26.71
