0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
Commodities,,,"All India Weekly Average Mandi Prices
(In Rs./Quintal)",,,,,,,,,% Variation Over,,,,Arrival,
,,,,,,,,,,,,,,,,(In,
,,,,,,,,,,,,,,,,Metric,
,,,,,,,,,,,,,,,,Tonnes),
,,,"Current
MSP",,,"Prices
as on
12.06.26",,One,,"1 Month
Ago
12.05.26","1 Year
Ago
12.06.25","Last
Week","Last
Month","1 Year
Ago","Arrivals
as on
12.06.26",,
,,,,,,,,Week,,,,,,,,,
,,,,,,,,Ago,,,,,,,,,
,,,,,,,,05.06.26,,,,,,,,,
Cereals,,,,,,,,,,,,,,,,,
,Paddy,,2369,,,2306,2282,,,2263,2088,1.03,1.90,10.42,27382,,
,(Common),,,,,,,,,,,,,,,,
,Wheat,,,2585,,2430,2424,,,2471,2522,0.23,-1.66,-3.67,103605,,
,Maize,,,2400,,1869,1834,,,1869,2119,1.87,-0.03,-11.82,55082,,
Pulses,,,,,,,,,,,,,,,,,
,Arhar whole,,,8000,,7289,7428,,,7399,6273,-1.87,-1.48,16.20,3875,,
,Gram whole,,,5875,,5616,5594,,,5336,5487,0.40,5.25,2.35,8740,,
,Masur Whole,,,7000,,6523,6765,,,7221,6384,-3.58,-9.68,2.17,1243,,
,Moong Whole,,,8768,,6929,6868,,,7614,6444,0.88,-9.00,7.52,9840,,
,Urad Whole,,,7800,,7537,7479,,,7336,6309,0.78,2.74,19.47,2878,,
Millets,,,,,,,,,,,,,,,,,
,Jowar,,,3699,,3867,3820,,,3239,3203,1.23,19.40,20.75,1583,,
,Bajra,,,2775,,2206,2278,,,2180,2340,-3.12,1.21,-5.72,4877,,
,Ragi,,,4886,,3620,3269,,,3598,3431,10.72,0.59,5.51,91,,
,Oil Seeds,,,,,,,,,,,,,,,,
,Groundnut,,,7263,,7391,7503,,,6887,5312,-1.49,7.33,39.13,4466,,
,Mustard,,,6200,,7229,7242,,,6654,6134,-0.18,8.64,17.86,9234,,
,Soyabean,,,5328,,6831,6529,,,6804,4129,4.62,0.39,65.44,11968,,
,Sesamum,,,9846,,11753,11690,,,11886,9465,0.54,-1.12,24.17,2618,,
,Sunflower,,,7721,,7678,7683,,,6917,7279,-0.06,11.01,5.49,707,,
Horticulture,,,,,,,,,,,,,,,,,
,Onion,,,,,1278,1304,,,1035,1262,-2.06,23.44,1.24,50180,,
,Potato,,,,,751,749,,,744,1210,0.26,1.00,-37.93,37085,,
,Tomato,,,,,2471,2270,,,2099,1834,8.89,17.75,34.72,15520,,
Source: Agmarknet,,,,,,,,,,,,,,,,,
