0,1,2,3,4,5,6,7,8,9,10,11
,All India Mandi Wholesale Prices,,,,,,,,,,
Commodities,Commodities,,MSP (RS/Qtl),,,Price as on 29-05-2026,,,% Variation over MSP,% Variation over MSP,
,Paddy (Rice unmilled),,,2369,,,2088,,,-11.86,
,Wheat,,,2585,,,2442,,,-5.53,
,Maize,,,2400,,,1900,,,-20.83,
,Arhar,,,8000,,,7491,,,-6.36,
,Gram whole,,,5875,,,5715,,,-2.72,
,Masur,,,7000,,,6604,,,-5.66,
,Moong,,,8768,,,7006,,,-20.10,
,Urad,,,7800,,,7542,,,-3.31,
,Jowar,,,3699,,,3603,,,-2.60,
,Bajra,,,2775,,,2288,,,-17.55,
,Ragi,,,4886,,,3406,,,-30.29,
,Groundnut,,,7263,,,6961,,,-4.16,
,Sunflower,,,7721,,,7678,,,-0.56,
